Time,Population
1,54
2,57
3,58
4,58
5,61
6,61
7,62
8,62
9,62
10,62
11,62
12,62
13,62
14,62
15,63
16,64
17,65
18,65
19,65
20,66
21,66
22,66
23,66
24,66
25,66
26,67
27,68
28,68
29,69
30,70
31,70
32,71
33,72
34,36
35,36
36,36
37,37
38,37
39,39
40,40
41,41
42,41
43,42
44,43
45,42
46,42
47,43
48,43
49,43
50,44
51,45
52,46
53,47
54,47
55,48
56,48
57,48
58,51
59,51
60,51
61,51
62,51
63,52
64,52
65,52
66,53
67,53
68,54
69,55
70,55
71,55
72,54
73,54
74,54
75,56
76,57
77,58
78,60
79,60
80,62
81,63
82,65
83,65
84,66
85,69
86,70
87,70
88,69
89,69
90,70
91,70
92,74
93,76
94,77
95,79
96,80
97,81
98,82
99,81
100,81
101,83
102,84
103,84
